Year,Carrier,Carried,Time,Country
1997,Jouni Jussila,Tiina Jussila,65.0,Finland
1998,Imre Ambos,Annela Ojaste,69.2,Estonia
1999,Imre Ambos,Annela Ojaste,64.5,Estonia
2000,Margo Uusorg,Birgit Ulrich,55.5,Estonia
2001,Margo Uusorg,Birgit Ulrich,55.6,Estonia
2002,Meelis Tammre,Anne Zillberberg,63.8,Estonia
2003,Margo Uusorg,Egle Soll,60.7,Estonia
2004,Madis Uusorg,Inga Klauso,65.3,Estonia
2005,Margo Uusorg,Egle Soll,59.1,Estonia
2006,Margo Uusorg,Sandra Kullas,56.9,Estonia
2007,Madis Uusorg,Inga Klauso,61.7,Estonia
2008,Alar Voogla,Kirsti Viltrop,61.9,Estonia
2009,Taisto Miettinen,Kristiina Haapanen,62.0,Finland
2010,Taisto Miettinen,Kristiina Haapanen,64.9,Finland
2011,Taisto Miettinen,Kristiina Haapanen,60.7,Finland
2012,Taisto Miettinen,Kristiina Haapanen,61.2,Finland
2013,Taisto Miettinen,Kristiina Haapanen,65.0,Finland
2014,Ville Parviainen,Janette Oksman,63.7,Finland
2015,Ville Parviainen,Sari Viljanen,62.7,Finland
2016,Dmitry Sagal,Anastasia Loginova,62.7,Russia
2017,Taisto Miettinen,Kristiina Haapanen,68.6,Finland
2018,Vytautas Kirkliauskas,Neringa Kirkliauskiene,65.1,Lithuania
2019,Vytautas Kirkliauskas,Neringa Kirkliauskiene,66.7,Lithuania
2022,Taisto Miettinen,Katja Kovanen,67.4,Finland
2023,Taisto Miettinen,Katja Kovanen,66.4,Finland
