Carrier,Carried,Country,Count
Taisto Miettinen,Kristiina Haapanen,Finland,6
Imre Ambos,Annela Ojaste,Estonia,2
Madis Uusorg,Inga Klauso,Estonia,2
Margo Uusorg,Birgit Ulrich,Estonia,2
Margo Uusorg,Egle Soll,Estonia,2
Taisto Miettinen,Katja Kovanen,Finland,2
Vytautas Kirkliauskas,Neringa Kirkliauskiene,Lithuania,2
Alar Voogla,Kirsti Viltrop,Estonia,1
Dmitry Sagal,Anastasia Loginova,Russia,1
Jouni Jussila,Tiina Jussila,Finland,1
Margo Uusorg,Sandra Kullas,Estonia,1
Meelis Tammre,Anne Zillberberg,Estonia,1
Ville Parviainen,Janette Oksman,Finland,1
Ville Parviainen,Sari Viljanen,Finland,1
